iter	Logloss
0	0.5736012243
1	0.4947805212
2	0.4429016091
3	0.4080510349
4	0.3840096627
5	0.3674517906
6	0.3555359442
7	0.3467561362
8	0.3402618041
9	0.3356906194
10	0.3320213879
11	0.3290159632
12	0.3268576172
13	0.3251872041
14	0.3238663194
15	0.3229655128
16	0.322044932
17	0.3214054849
18	0.3208340256
19	0.3204567688
20	0.320069901
21	0.3197929091
22	0.3195086784
23	0.3193036629
24	0.3191524232
25	0.3190255805
26	0.3188869823
27	0.3187881762
28	0.3186892365
29	0.3185808372
30	0.3184991312
31	0.318416982
32	0.3182785864
33	0.3181768192
34	0.3180801861
35	0.3179620852
36	0.3178746087
37	0.3178181448
38	0.3177355477
39	0.3176893555
40	0.3176478423
41	0.3176198731
42	0.317511366
43	0.3174780807
44	0.3174364578
45	0.3173944968
46	0.3173482217
47	0.3173222515
48	0.3172830492
49	0.3172333051
50	0.3171873421
51	0.317148824
52	0.3171061838
53	0.3170763445
54	0.3170314733
55	0.316974747
56	0.3169389679
57	0.3169020514
58	0.3168421185
59	0.3168159292
60	0.3167780872
61	0.3167630759
62	0.3167177777
63	0.3166878705
64	0.3166674292
65	0.316602245
66	0.3165759116
67	0.3165462567
68	0.3165244976
69	0.3165056818
70	0.3164845619
71	0.3164321698
72	0.316411129
73	0.3163690577
74	0.3163355978
75	0.3163036058
76	0.3162845678
77	0.3162693751
78	0.3162320232
79	0.3162056764
80	0.3161725485
81	0.3161494774
82	0.3161111165
83	0.3160867729
84	0.3160780058
85	0.3160496869
86	0.3160079482
87	0.3159967872
88	0.3159596454
89	0.3159489159
90	0.3159276305
91	0.3158853526
92	0.3158492283
93	0.315835323
94	0.315808049
95	0.315802747
96	0.3157812144
97	0.3157435437
98	0.315724945
99	0.3157087498
100	0.3156922285
101	0.3156653099
102	0.3156406581
103	0.3156085194
104	0.315577087
105	0.3155533296
106	0.3155342336
107	0.3155061666
108	0.3154860958
109	0.3154736401
110	0.315426454
111	0.315394352
112	0.3153778182
113	0.3153591479
114	0.3153446293
115	0.3153118324
116	0.315277041
117	0.3152610395
118	0.3152572353
119	0.3152302605
120	0.3152056607
121	0.3151702071
122	0.3151467433
123	0.3151386755
124	0.3151126767
125	0.3150998412
126	0.3150709049
127	0.3150522158
128	0.315029844
129	0.3149996374
130	0.3149793375
131	0.3149592765
132	0.3149434278
133	0.3149229965
134	0.3149089052
135	0.3148981093
136	0.3148736726
137	0.3148508382
138	0.3148269145
139	0.3147986544
140	0.3147783694
141	0.3147720628
142	0.3147704805
143	0.3147476274
144	0.3147267877
145	0.3147138477
146	0.3146856379
147	0.3146488853
148	0.3146163615
149	0.3145872459
150	0.3145585784
151	0.3145521145
152	0.3145179298
153	0.3145007074
154	0.3144805089
155	0.3144547766
156	0.3144388304
157	0.3144123179
158	0.3143932818
159	0.3143866025
160	0.3143622988
161	0.3143522765
162	0.3143327167
163	0.3143154962
164	0.3142870698
165	0.3142574349
166	0.3142345457
167	0.3142186538
168	0.3141868893
169	0.3141686842
170	0.3141503021
171	0.3141284485
172	0.3141150666
173	0.3140976289
174	0.3140684909
175	0.3140590104
176	0.3140353642
177	0.3140035343
178	0.3139820713
179	0.3139529037
180	0.3139331499
181	0.3139167273
182	0.3138937901
183	0.3138898169
184	0.3138803031
185	0.313877343
186	0.313857415
187	0.3138250616
188	0.3137969078
189	0.3137859404
190	0.3137729409
191	0.3137477315
192	0.3137279329
193	0.3136943791
194	0.3136758844
195	0.3136514385
196	0.3136273017
197	0.3136043698
198	0.3135931685
199	0.3135730209
200	0.3135633241
201	0.3135486576
202	0.3135344626
203	0.3135056469
204	0.3134998395
205	0.3134904592
206	0.3134666475
207	0.3134556209
208	0.3134552282
209	0.3134306607
210	0.3134277539
211	0.3133989652
212	0.3133778024
213	0.3133518985
214	0.3133366823
215	0.3133205112
216	0.3133249983
217	0.3133129326
218	0.3132880405
219	0.3132676708
220	0.3132523871
221	0.3132232931
222	0.3132000283
223	0.3131715134
224	0.31315719
225	0.3131344413
226	0.3131118429
227	0.3130986535
228	0.3130768253
229	0.3130552201
230	0.3130507597
231	0.3130481377
232	0.3130380722
233	0.3130227937
234	0.3130069239
235	0.3129916162
236	0.312979991
237	0.3129598427
238	0.3129397138
239	0.3129267622
240	0.3129212742
241	0.3129067368
242	0.3128809383
243	0.3128763906
244	0.31284478
245	0.3128275318
246	0.3128155886
247	0.3128161235
248	0.3127996408
249	0.3127746271
250	0.3127596345
251	0.312738685
252	0.3127174141
253	0.3126893822
254	0.3126839233
255	0.3126590927
256	0.3126347344
257	0.312615031
258	0.3126033726
259	0.3125845715
260	0.3125617285
261	0.3125618916
262	0.3125446487
263	0.3125160127
264	0.3124969906
265	0.3124966643
266	0.3124780025
267	0.3124677794
268	0.3124529992
269	0.3124471549
270	0.312425602
271	0.3124234596
272	0.3124073445
273	0.3123889295
274	0.3123812023
275	0.3123716457
276	0.3123509738
277	0.3123543732
278	0.3123505387
279	0.3123308283
280	0.3123184844
281	0.3122871652
282	0.3122749583
283	0.3122598596
284	0.312258633
285	0.3122384552
286	0.312224258
287	0.3122109312
288	0.3121959346
289	0.3121719179
290	0.3121575576
291	0.3121328822
292	0.3120980488
293	0.3120968548
294	0.3120772184
295	0.31206088
296	0.3120419228
297	0.3120133321
298	0.312005204
299	0.3119873963
300	0.3119719566
301	0.3119569814
302	0.311930999
303	0.3119257418
304	0.3119088288
305	0.3118955039
306	0.3118946033
307	0.3118649455
308	0.3118455599
309	0.3118414319
310	0.3118314857
311	0.3118053339
312	0.3117945494
313	0.3117690342
314	0.3117484784
315	0.3117329399
316	0.311721629
317	0.3117067388
318	0.3116970907
319	0.3116681916
320	0.3116363521
321	0.3116263666
322	0.3116022087
323	0.3115924115
324	0.3115743813
325	0.3115497265
326	0.3115385212
327	0.3115110884
328	0.3114960385
329	0.3114958905
330	0.3114944975
331	0.3114858315
332	0.3114634464
333	0.3114618356
334	0.3114462
335	0.3114256363
336	0.3114044164
337	0.3113865744
338	0.3113711101
339	0.3113614986
340	0.3113654728
341	0.3113470559
342	0.3113243765
343	0.3113069109
344	0.3112874836
345	0.3112697401
346	0.3112587563
347	0.31122876
348	0.3112257082
349	0.3112109525
350	0.3111998107
351	0.3111840905
352	0.3111782089
353	0.3111586477
354	0.3111361522
355	0.3111261954
356	0.3111145043
357	0.3110919022
358	0.3110686253
359	0.3110540269
360	0.3110304679
361	0.311008341
362	0.3109916149
363	0.3109755166
364	0.3109629012
365	0.3109464963
366	0.310944097
367	0.3109409051
368	0.3109295252
369	0.3109071255
370	0.3108846921
371	0.310863397
372	0.3108409965
373	0.3108409359
374	0.3108390986
375	0.3108326468
376	0.3108197203
377	0.3108021207
378	0.3107876467
379	0.3107696999
380	0.3107590118
381	0.3107585914
382	0.3107535061
383	0.3107498466
384	0.3107381049
385	0.3107286636
386	0.3107180797
387	0.3107034976
388	0.3106884142
389	0.310665775
390	0.3106626982
391	0.3106518032
392	0.3106357943
393	0.3106253838
394	0.3106127047
395	0.3106111969
396	0.3106050175
397	0.3105855735
398	0.3105786711
399	0.3105728307
400	0.3105510045
401	0.3105308095
402	0.3105308035
403	0.3105237452
404	0.3105112107
405	0.3104950158
406	0.3104808987
407	0.3104627941
408	0.3104322331
409	0.3104246764
410	0.3104250329
411	0.3104077785
412	0.3103905277
413	0.310373332
414	0.3103676132
415	0.3103675408
416	0.3103526899
417	0.3103203219
418	0.3103033364
419	0.3102862879
420	0.3102594542
421	0.3102434716
422	0.3102218852
423	0.3102209184
424	0.3102173892
425	0.310223366
426	0.3102227556
427	0.3102108893
428	0.310203393
429	0.3101824486
430	0.3101519918
431	0.3101243907
432	0.3101086538
433	0.31009906
434	0.3100881968
435	0.3100696809
436	0.3100525403
437	0.3100421032
438	0.3100260352
439	0.3100211944
440	0.310018485
441	0.3099844494
442	0.3099787626
443	0.3099646083
444	0.3099652244
445	0.3099589816
446	0.3099582413
447	0.3099560322
448	0.3099175967
449	0.3099171314
450	0.3099206915
451	0.3098902005
452	0.3098698916
453	0.3098558296
454	0.3098463326
455	0.3098242673
456	0.3098088504
457	0.3098003602
458	0.3097882934
459	0.3097644713
460	0.3097601345
461	0.3097373786
462	0.3097259052
463	0.3097119191
464	0.3097031946
465	0.3097031765
466	0.309696254
467	0.3096940089
468	0.3096868876
469	0.3096759676
470	0.3096620361
471	0.3096376765
472	0.3096165614
473	0.3096105073
474	0.3095969354
475	0.3095744586
476	0.3095625797
477	0.309548474
478	0.3095294061
479	0.3095172745
480	0.3095017986
481	0.3094804542
482	0.3094643114
483	0.3094505592
484	0.3094435601
485	0.3094300623
486	0.3094042962
487	0.309382825
488	0.3093759021
489	0.3093637536
490	0.3093542374
491	0.3093424473
492	0.3093438344
493	0.3093401418
494	0.3093246695
495	0.3093241377
496	0.3093249385
497	0.3093224029
498	0.3093161935
499	0.3093040791
500	0.3092961521
501	0.3092956644
502	0.3092956976
503	0.3092941507
504	0.3092836677
505	0.3092840213
506	0.3092689408
507	0.3092658389
508	0.3092521395
509	0.309238778
510	0.3092271881
511	0.3092176357
512	0.3091986808
513	0.3091801957
514	0.3091651668
515	0.3091508088
516	0.3091388344
517	0.3091384025
518	0.3091213305
519	0.3091045468
520	0.3090914735
521	0.3090702488
522	0.3090583597
523	0.3090398161
524	0.3090377394
525	0.3090221903
526	0.3090040139
527	0.308994003
528	0.3089782193
529	0.3089591814
530	0.3089371577
531	0.3089219815
532	0.3089138757
533	0.3088816668
534	0.308878978
535	0.3088565082
536	0.3088526678
537	0.3088526799
538	0.3088514073
539	0.3088366753
540	0.3088199248
541	0.3087991191
542	0.3087854549
543	0.3087623432
544	0.3087516311
545	0.3087456795
546	0.308731529
547	0.3087140605
548	0.3086946815
549	0.3086920709
550	0.30867737
551	0.3086731389
552	0.3086608262
553	0.3086441886
554	0.3086301282
555	0.3086269991
556	0.3086261986
557	0.3086254387
558	0.3086123652
559	0.3085910729
560	0.3085733155
561	0.3085572607
562	0.3085572637
563	0.308550933
564	0.3085521392
565	0.3085385093
566	0.3085228696
567	0.3084920735
568	0.3084907677
569	0.3084789322
570	0.3084795486
571	0.3084635418
572	0.3084380203
573	0.3084198235
574	0.3084061625
575	0.3083978401
576	0.3083761628
577	0.3083694826
578	0.3083551977
579	0.3083493894
580	0.3083366592
581	0.3083207992
582	0.3083063878
583	0.3083041992
584	0.3082892438
585	0.3082743367
586	0.3082623467
587	0.3082583846
588	0.3082494343
589	0.3082400585
590	0.3082302865
591	0.308199045
592	0.308192959
593	0.3081855085
594	0.308182236
595	0.3081687281
596	0.3081533741
597	0.3081472106
598	0.3081371809
599	0.3081324185
600	0.3081171924
601	0.3081120596
602	0.3080998415
603	0.3081005395
604	0.308094328
605	0.308065751
606	0.3080641578
607	0.3080510735
608	0.3080392887
609	0.3080254321
610	0.3080111497
611	0.308007799
612	0.3079930049
613	0.3079771781
614	0.3079582299
615	0.3079413572
616	0.3079201313
617	0.3079072624
618	0.3078889856
619	0.307877663
620	0.3078518354
621	0.3078376847
622	0.3078212073
623	0.3078062633
624	0.3077856873
625	0.3077690704
626	0.3077540035
627	0.3077505878
628	0.3077383531
629	0.3077212985
630	0.3077072514
631	0.307686801
632	0.3076662918
633	0.3076474645
634	0.3076336396
635	0.3076150539
636	0.3075957445
637	0.3075865374
638	0.3075698245
639	0.3075623729
640	0.3075477823
641	0.3075288043
642	0.3075117224
643	0.3074873594
644	0.3074792182
645	0.3074575964
646	0.3074534969
647	0.3074437102
648	0.3074361079
649	0.3074176678
650	0.3074066163
651	0.3074065075
652	0.3074065951
653	0.3074000879
654	0.307391369
655	0.3073713571
656	0.3073640787
657	0.3073563792
658	0.3073519913
659	0.3073446799
660	0.3073274666
661	0.3073190299
662	0.3072990704
663	0.3072801798
664	0.3072659433
665	0.3072427128
666	0.3072353688
667	0.3072382155
668	0.3072118659
669	0.3071965778
670	0.3071642236
671	0.3071528318
672	0.3071426166
673	0.3071185069
